,FoodItem,Item.No,Category,Palatability,Energy_levels,Energy_levels2,NOVA_Group,NOVA_Group2,Liking,Familiarity,Healthiness,Expected_Satiation,Frequency_of_consumption,Energy_content,Estimated_ED,Carbohydrate,Fat,Protein,Fibre,Sugars,Starch_Polyols,SatFat,Salt,Sodium,Energy_density,Portion,Actual_price,red,green,blue,Object_size,Brightness,Within_object_contrast,complexity,norm_complexity,Spatial_frequency,meanpow,visual_area_px,visual_area_cm2
43,Piparminttu-suklaakaramelli / Chocolate filled mint candies,48,Combo,HPF,HED,VHED,UPF,UPF,53.78225806,76.94193548,11.26612903,22.51612903,1.129032258,119.6206452,69.07419355,22.1646,2.9733,0.45951,0,18.921,3.2436,1.83804,0.005406,0.002126672,4.44,27.03,0.342789545,0.338499385,0.336251507,0.325249108,0.999991687,57.9745311,22.86762,0.025737997,0.025738211,16.66532,17.38443,219601,34.62816707
44,Poimuperunalastu / Ridged potato chips,49,Combo,Not HPF,HED,VHED,UPF,UPF,63.16935484,80.44193548,11.40483871,35.87903226,4.290322581,146.1793548,66.64516129,12.4062,7.0587,1.36896,0,0.08556,12.32064,0.57753,0.27807,0.109390244,5.61,21.39,0.163880308,0.348203038,0.33982529,0.311971672,0.999995345,63.43767265,25.23595,0.036951401,0.036951573,16.75657,17.4589,1234536,194.6699645
46,Ranskalaiset perunat / French fries,50,Combo,Not HPF,MED,HED,UPF,UPF,71.88709677,85.80967742,21.26612903,50.27258065,5.306451613,157.8154839,69.88064516,14.9688,5.8212,1.41372,1.4553,0.12474,14.84406,0.54054,0.12474,0.049071597,2.886,41.58,0.96525,0.345940903,0.33771061,0.316348487,0.999999086,61.07305659,25.93648,0.036427662,0.036427696,16.41133,17.18682,892337,140.7097177
47,Riisipiirakka / Finnish rice pasties,51,Combo,HPF,LED,MED,UPF,UPF,68.33064516,86.43225806,61.29032258,51.07580645,7.112903226,114.8554839,53.54516129,19.355,2.86454,2.78712,1.85808,1.47098,17.88402,0.23226,0.611618,0.240605035,1.55,77.42,0.224733056,0.339981403,0.33614389,0.323874706,0.99999867,59.71384501,27.47263,0.025181421,0.025181455,17.17467,17.83168,492590,77.67491413
48,Ruisnäkkäri / Rye crispbread,52,Carbohydrate,Not HPF,MED,HED,PF,MPF,58.05645161,80.53064516,70.24677419,44.83387097,2.596774194,96.26322581,43.38387097,21.4659,1.02051,3.20229,5.9823,0.95013,20.51577,0.24633,0.49266,0.193808025,3.41,35.19,0.17155125,0.348804276,0.336195959,0.314999764,0.999995843,69.16249987,37.26387,0.063442168,0.063442432,18.39319,18.85661,1050344,165.6253274
49,Ruissipsi / Rye chips,53,Carbohydrate,Not HPF,MED,HED,PF,MPF,61.88709677,74.05,54.81451613,48.74193548,1.467741935,129.6270968,52.08064516,21.684,0.83122,3.614,6.1438,0.3614,21.3226,0.10842,0.46982,0.184822974,3.32,36.14,0.696297333,0.353915818,0.335480608,0.310603574,0.999994014,66.78147193,45.11461,0.048570078,0.048570369,17.64852,18.28279,1003190,158.1897666
50,Rusinat / Raisins,54,Carbohydrate,Not HPF,MED,HED,PF,MPF,52.75806452,80.64677419,60.31935484,35.48225806,1.806451613,117.3716129,59.02580645,26.98724,0.23604,0.9835,2.04568,26.63318,0.35406,0.07868,0.01967,0.007738002,3.05,39.34,0.2187304,0.345426014,0.334058937,0.320515049,0.999996259,67.12712068,42.80278,0.023995944,0.023996034,17.92427,18.4982,633768,99.93681354
51,Rustiikkinen vehnäsämpylä / Whole grain wheat bun,55,Carbohydrate,HPF,MED,HED,PF,MPF,65.09677419,73.32419355,53.79193548,51.39354839,6.548387097,105.0503226,51.72258065,23.6131,0.62647,4.38529,1.20475,1.20475,22.40835,0.24095,0.62647,0.246447679,2.49,48.19,0.33130625,0.344394707,0.336603145,0.319002149,0.999993682,57.43735707,30.10754,0.031871139,0.03187134,16.84795,17.56457,761353,120.055277
52,Savulohisandwich / Smoked salmon sandwich,56,Combo,Not HPF,MED,HED,UPF,UPF,68,70.23387097,68.26612903,62.3,1.806451613,162.7548387,61.56129032,9.3906,6.7821,5.00832,0,0.99123,8.39937,0.78255,0.36519,0.14366247,2.3,52.17,1.030978571,0.343247141,0.33617248,0.320580379,0.999998504,58.53074169,32.43024,0.030784174,0.03078422,17.01194,17.69728,406108,64.03784898
53,Sinihomejuusto / Blue cheese,57,Fat,HPF,MED,HED,PF,MPF,57.9516129,73.34677419,41.57419355,45.31612903,2.483870968,146.0012903,71.14032258,0,10.1805,7.0955,0,0,0,6.4785,0.77125,0.303402832,3.89,30.85,0.551106796,0.338036223,0.336117487,0.32584629,0.999998504,54.43052628,24.83887,0.022122956,0.022122989,16.18042,17.07255,214369,33.80315002
54,Suklaapatukkka hasselpähkinäkreemillä / Chocolate  bar with hazenut cream,58,Combo,HPF,HED,VHED,UPF,UPF,65.71774194,74.07741935,11.44677419,26.81129032,0.903225806,135.956129,71.20967742,10.3851,7.82554,1.80428,0.4196,8.64376,1.74134,3.62954,0.056646,0.022284028,5.72,20.98,0.463511628,0.340815346,0.335804684,0.32337997,0.999992601,54.80274228,32.85873,0.01837698,0.018377116,16.24727,17.07809,272887,43.03066301
55,Suolaisia perunalastuja / Salty potato chips,59,Combo,Not HPF,HED,VHED,UPF,UPF,68.19354839,83.48064516,12.26612903,30.95967742,5.193548387,136.4051613,65.63709677,12.5832,6.9657,1.32573,0.78645,0.26964,12.31356,0.62916,0.24717,0.097234461,5.34,22.47,0.2078475,0.354911058,0.341509862,0.30357908,0.999995345,65.6556389,25.98439,0.034181823,0.034181982,16.72963,17.46313,1467637,231.4269026
